
20181203  AL | nATRExit: 4.5 | nPeriodBreak: 70 | nATR: 15

20090218  AL ：开多 | Bar序号：1
20091130  RB ：平多开空 | Bar序号：5

20091229  RB ：平空开多 | Bar序号：26

20100108  RB ：平多 | Bar序号：33

20100118  RB ：开空 | Bar序号：39

20100222  RB ：平空 | Bar序号：59

20100317  RB ：开多 | Bar序号：76

20100420  RB ：平多 | Bar序号：99

20100423  RB ：开空 | Bar序号：102

20100721  RB ：平空 | Bar序号：161

20100802  RB ：开多 | Bar序号：169

20100825  RB ：平多 | Bar序号：186

20100903  RB ：开多 | Bar序号：193

20100910  RB ：平多 | Bar序号：198

20101102  RB ：开多 | Bar序号：227

20101115  RB ：平多 | Bar序号：236

20101215  RB ：开多 | Bar序号：258

20110218  RB ：平多 | Bar序号：299

20110224  RB ：开空 | Bar序号：303

20110317  RB ：平空 | Bar序号：318

20110322  RB ：开空 | Bar序号：321

20110407  RB ：平空开多 | Bar序号：331

20110420  RB ：平多 | Bar序号：340

20110504  RB ：开多 | Bar序号：349

