
20170921  沪铝1711 | nATRExit: 3.8 | nPeriodBreak: 17 | nATR: 15

20090218  沪铝1711 ：开多 | Bar序号：1
20120419  股指1710 ：开多 | Bar序号：486

20120515  股指1710 ：平多开空 | Bar序号：502

20120910  股指1710 ：平空 | Bar序号：585

20120927  股指1710 ：开空 | Bar序号：598

20121010  股指1710 ：平空 | Bar序号：602

20121019  股指1710 ：开多 | Bar序号：609

20121114  股指1710 ：平多开空 | Bar序号：627

20121206  股指1710 ：平空 | Bar序号：643

20121210  股指1710 ：开多 | Bar序号：645

20130222  股指1710 ：平多 | Bar序号：691

20130227  股指1710 ：开空 | Bar序号：694

20130520  股指1710 ：平空开多 | Bar序号：747

20130613  股指1710 ：平多开空 | Bar序号：762

20130712  股指1710 ：平空 | Bar序号：783

20130812  股指1710 ：开多 | Bar序号：804

20130927  股指1710 ：平多 | Bar序号：836

20131028  股指1710 ：开空 | Bar序号：852

20131119  股指1710 ：平空开多 | Bar序号：868

20131217  股指1710 ：平多开空 | Bar序号：888

20140212  股指1710 ：平空开多 | Bar序号：923

20140225  股指1710 ：平多 | Bar序号：932

20140226  股指1710 ：开空 | Bar序号：933

20140403  股指1710 ：平空开多 | Bar序号：959

20140422  股指1710 ：平多 | Bar序号：971

20140429  股指1710 ：开空 | Bar序号：976

20140529  股指1710 ：平空 | Bar序号：996

20140616  股指1710 ：开多 | Bar序号：1007

20140917  股指1710 ：平多 | Bar序号：1073

20141009  股指1710 ：开多 | Bar序号：1084

20141028  股指1710 ：平多开空 | Bar序号：1097

